PassengerId,Survived,Pclass,Age,Fare,Sex
1,0,3,22,7.25,0
2,1,1,38,71.2833,1
3,1,3,26,7.925,1
4,1,1,35,53.1,1
5,0,3,35,8.05,0
6,0,3,,8.4583,0
7,0,1,54,51.8625,0
8,0,3,2,21.075,0
9,1,3,27,11.1333,1
10,1,2,14,30.0708,1
11,1,3,4,16.7,1
12,1,1,58,26.55,1
13,0,3,20,8.05,0
14,0,3,39,31.275,0
15,0,3,14,7.8542,1
16,1,2,55,16,1
17,0,3,2,29.125,0
18,1,2,,13,0
19,0,3,31,18,1
20,1,3,,7.225,1
21,0,2,35,26,0
22,1,2,34,13,0
23,1,3,15,8.0292,1
24,1,1,28,35.5,0
25,0,3,8,21.075,1
26,1,3,38,31.3875,1
27,0,3,,7.225,0
28,0,1,19,263,0
29,1,3,,7.8792,1
30,0,3,,7.8958,0
31,0,1,40,27.7208,0
32,1,1,,146.5208,1
33,1,3,,7.75,1
34,0,2,66,10.5,0
35,0,1,28,82.1708,0
36,0,1,42,52,0
37,1,3,,7.2292,0
38,0,3,21,8.05,0
39,0,3,18,18,1
40,1,3,14,11.2417,1
41,0,3,40,9.475,1
42,0,2,27,21,1
43,0,3,,7.8958,0
44,1,2,3,41.5792,1
45,1,3,19,7.8792,1
46,0,3,,8.05,0
47,0,3,,15.5,0
48,1,3,,7.75,1
49,0,3,,21.6792,0
50,0,3,18,17.8,1
51,0,3,7,39.6875,0
52,0,3,21,7.8,0
53,1,1,49,76.7292,1
54,1,2,29,26,1
55,0,1,65,61.9792,0
56,1,1,,35.5,0
57,1,2,21,10.5,1
58,0,3,28.5,7.2292,0
59,1,2,5,27.75,1
60,0,3,11,46.9,0
61,0,3,22,7.2292,0
62,1,1,38,80,1
63,0,1,45,83.475,0
64,0,3,4,27.9,0
65,0,1,,27.7208,0
66,1,3,,15.2458,0
67,1,2,29,10.5,1
68,0,3,19,8.1583,0
69,1,3,17,7.925,1
70,0,3,26,8.6625,0
71,0,2,32,10.5,0
72,0,3,16,46.9,1
73,0,2,21,73.5,0
74,0,3,26,14.4542,0
75,1,3,32,56.4958,0
76,0,3,25,7.65,0
77,0,3,,7.8958,0
78,0,3,,8.05,0
79,1,2,0.83,29,0
80,1,3,30,12.475,1
81,0,3,22,9,0
82,1,3,29,9.5,0
83,1,3,,7.7875,1
84,0,1,28,47.1,0
85,1,2,17,10.5,1
86,1,3,33,15.85,1
87,0,3,16,34.375,0
88,0,3,,8.05,0
89,1,1,23,263,1
90,0,3,24,8.05,0
91,0,3,29,8.05,0
92,0,3,20,7.8542,0
93,0,1,46,61.175,0
94,0,3,26,20.575,0
95,0,3,59,7.25,0
96,0,3,,8.05,0
97,0,1,71,34.6542,0
98,1,1,23,63.3583,0
99,1,2,34,23,1
100,0,2,34,26,0
101,0,3,28,7.8958,1
102,0,3,,7.8958,0
103,0,1,21,77.2875,0
104,0,3,33,8.6542,0
105,0,3,37,7.925,0
106,0,3,28,7.8958,0
107,1,3,21,7.65,1
108,1,3,,7.775,0
109,0,3,38,7.8958,0
110,1,3,,24.15,1
111,0,1,47,52,0
112,0,3,14.5,14.4542,1
113,0,3,22,8.05,0
114,0,3,20,9.825,1
115,0,3,17,14.4583,1
116,0,3,21,7.925,0
117,0,3,70.5,7.75,0
118,0,2,29,21,0
119,0,1,24,247.5208,0
120,0,3,2,31.275,1
121,0,2,21,73.5,0
122,0,3,,8.05,0
123,0,2,32.5,30.0708,0
124,1,2,32.5,13,1
125,0,1,54,77.2875,0
126,1,3,12,11.2417,0
127,0,3,,7.75,0
128,1,3,24,7.1417,0
129,1,3,,22.3583,1
130,0,3,45,6.975,0
131,0,3,33,7.8958,0
132,0,3,20,7.05,0
133,0,3,47,14.5,1
134,1,2,29,26,1
135,0,2,25,13,0
136,0,2,23,15.0458,0
137,1,1,19,26.2833,1
138,0,1,37,53.1,0
139,0,3,16,9.2167,0
140,0,1,24,79.2,0
141,0,3,,15.2458,1
142,1,3,22,7.75,1
143,1,3,24,15.85,1
144,0,3,19,6.75,0
145,0,2,18,11.5,0
146,0,2,19,36.75,0
147,1,3,27,7.7958,0
148,0,3,9,34.375,1
149,0,2,36.5,26,0
150,0,2,42,13,0
151,0,2,51,12.525,0
152,1,1,22,66.6,1
153,0,3,55.5,8.05,0
154,0,3,40.5,14.5,0
155,0,3,,7.3125,0
156,0,1,51,61.3792,0
157,1,3,16,7.7333,1
158,0,3,30,8.05,0
159,0,3,,8.6625,0
160,0,3,,69.55,0
161,0,3,44,16.1,0
162,1,2,40,15.75,1
163,0,3,26,7.775,0
164,0,3,17,8.6625,0
165,0,3,1,39.6875,0
166,1,3,9,20.525,0
167,1,1,,55,1
168,0,3,45,27.9,1
169,0,1,,25.925,0
170,0,3,28,56.4958,0
171,0,1,61,33.5,0
172,0,3,4,29.125,0
173,1,3,1,11.1333,1
174,0,3,21,7.925,0
175,0,1,56,30.6958,0
176,0,3,18,7.8542,0
177,0,3,,25.4667,0
178,0,1,50,28.7125,1
179,0,2,30,13,0
180,0,3,36,0,0
181,0,3,,69.55,1
182,0,2,,15.05,0
183,0,3,9,31.3875,0
184,1,2,1,39,0
185,1,3,4,22.025,1
186,0,1,,50,0
187,1,3,,15.5,1
188,1,1,45,26.55,0
189,0,3,40,15.5,0
190,0,3,36,7.8958,0
191,1,2,32,13,1
192,0,2,19,13,0
193,1,3,19,7.8542,1
194,1,2,3,26,0
195,1,1,44,27.7208,1
196,1,1,58,146.5208,1
197,0,3,,7.75,0
198,0,3,42,8.4042,0
199,1,3,,7.75,1
200,0,2,24,13,1
201,0,3,28,9.5,0
202,0,3,,69.55,0
203,0,3,34,6.4958,0
204,0,3,45.5,7.225,0
205,1,3,18,8.05,0
206,0,3,2,10.4625,1
207,0,3,32,15.85,0
208,1,3,26,18.7875,0
209,1,3,16,7.75,1
210,1,1,40,31,0
211,0,3,24,7.05,0
212,1,2,35,21,1
213,0,3,22,7.25,0
214,0,2,30,13,0
215,0,3,,7.75,0
216,1,1,31,113.275,1
217,1,3,27,7.925,1
218,0,2,42,27,0
219,1,1,32,76.2917,1
220,0,2,30,10.5,0
221,1,3,16,8.05,0
222,0,2,27,13,0
223,0,3,51,8.05,0
224,0,3,,7.8958,0
225,1,1,38,90,0
226,0,3,22,9.35,0
227,1,2,19,10.5,0
228,0,3,20.5,7.25,0
229,0,2,18,13,0
230,0,3,,25.4667,1
231,1,1,35,83.475,1
232,0,3,29,7.775,0
233,0,2,59,13.5,0
234,1,3,5,31.3875,1
235,0,2,24,10.5,0
236,0,3,,7.55,1
237,0,2,44,26,0
238,1,2,8,26.25,1
239,0,2,19,10.5,0
240,0,2,33,12.275,0
241,0,3,,14.4542,1
242,1,3,,15.5,1
243,0,2,29,10.5,0
244,0,3,22,7.125,0
245,0,3,30,7.225,0
246,0,1,44,90,0
247,0,3,25,7.775,1
248,1,2,24,14.5,1
249,1,1,37,52.5542,0
250,0,2,54,26,0
251,0,3,,7.25,0
252,0,3,29,10.4625,1
253,0,1,62,26.55,0
254,0,3,30,16.1,0
255,0,3,41,20.2125,1
256,1,3,29,15.2458,1
257,1,1,,79.2,1
258,1,1,30,86.5,1
259,1,1,35,512.3292,1
260,1,2,50,26,1
261,0,3,,7.75,0
262,1,3,3,31.3875,0
263,0,1,52,79.65,0
264,0,1,40,0,0
265,0,3,,7.75,1
266,0,2,36,10.5,0
267,0,3,16,39.6875,0
268,1,3,25,7.775,0
269,1,1,58,153.4625,1
270,1,1,35,135.6333,1
271,0,1,,31,0
272,1,3,25,0,0
273,1,2,41,19.5,1
274,0,1,37,29.7,0
275,1,3,,7.75,1
276,1,1,63,77.9583,1
277,0,3,45,7.75,1
278,0,2,,0,0
279,0,3,7,29.125,0
280,1,3,35,20.25,1
281,0,3,65,7.75,0
282,0,3,28,7.8542,0
283,0,3,16,9.5,0
284,1,3,19,8.05,0
285,0,1,,26,0
286,0,3,33,8.6625,0
287,1,3,30,9.5,0
288,0,3,22,7.8958,0
289,1,2,42,13,0
290,1,3,22,7.75,1
291,1,1,26,78.85,1
292,1,1,19,91.0792,1
293,0,2,36,12.875,0
294,0,3,24,8.85,1
295,0,3,24,7.8958,0
296,0,1,,27.7208,0
297,0,3,23.5,7.2292,0
298,0,1,2,151.55,1
299,1,1,,30.5,0
300,1,1,50,247.5208,1
301,1,3,,7.75,1
302,1,3,,23.25,0
303,0,3,19,0,0
304,1,2,,12.35,1
305,0,3,,8.05,0
306,1,1,0.92,151.55,0
307,1,1,,110.8833,1
308,1,1,17,108.9,1
309,0,2,30,24,0
310,1,1,30,56.9292,1
311,1,1,24,83.1583,1
312,1,1,18,262.375,1
313,0,2,26,26,1
314,0,3,28,7.8958,0
315,0,2,43,26.25,0
316,1,3,26,7.8542,1
317,1,2,24,26,1
318,0,2,54,14,0
319,1,1,31,164.8667,1
320,1,1,40,134.5,1
321,0,3,22,7.25,0
322,0,3,27,7.8958,0
323,1,2,30,12.35,1
324,1,2,22,29,1
325,0,3,,69.55,0
326,1,1,36,135.6333,1
327,0,3,61,6.2375,0
328,1,2,36,13,1
329,1,3,31,20.525,1
330,1,1,16,57.9792,1
331,1,3,,23.25,1
332,0,1,45.5,28.5,0
333,0,1,38,153.4625,0
334,0,3,16,18,0
335,1,1,,133.65,1
336,0,3,,7.8958,0
337,0,1,29,66.6,0
338,1,1,41,134.5,1
339,1,3,45,8.05,0
340,0,1,45,35.5,0
341,1,2,2,26,0
342,1,1,24,263,1
343,0,2,28,13,0
344,0,2,25,13,0
345,0,2,36,13,0
346,1,2,24,13,1
347,1,2,40,13,1
348,1,3,,16.1,1
349,1,3,3,15.9,0
350,0,3,42,8.6625,0
351,0,3,23,9.225,0
352,0,1,,35,0
353,0,3,15,7.2292,0
354,0,3,25,17.8,0
355,0,3,,7.225,0
356,0,3,28,9.5,0
357,1,1,22,55,1
358,0,2,38,13,1
359,1,3,,7.8792,1
360,1,3,,7.8792,1
361,0,3,40,27.9,0
362,0,2,29,27.7208,0
363,0,3,45,14.4542,1
364,0,3,35,7.05,0
365,0,3,,15.5,0
366,0,3,30,7.25,0
367,1,1,60,75.25,1
368,1,3,,7.2292,1
369,1,3,,7.75,1
370,1,1,24,69.3,1
371,1,1,25,55.4417,0
372,0,3,18,6.4958,0
373,0,3,19,8.05,0
374,0,1,22,135.6333,0
375,0,3,3,21.075,1
376,1,1,,82.1708,1
377,1,3,22,7.25,1
378,0,1,27,211.5,0
379,0,3,20,4.0125,0
380,0,3,19,7.775,0
381,1,1,42,227.525,1
382,1,3,1,15.7417,1
383,0,3,32,7.925,0
384,1,1,35,52,1
385,0,3,,7.8958,0
386,0,2,18,73.5,0
387,0,3,1,46.9,0
388,1,2,36,13,1
389,0,3,,7.7292,0
390,1,2,17,12,1
391,1,1,36,120,0
392,1,3,21,7.7958,0
393,0,3,28,7.925,0
394,1,1,23,113.275,1
395,1,3,24,16.7,1
396,0,3,22,7.7958,0
397,0,3,31,7.8542,1
398,0,2,46,26,0
399,0,2,23,10.5,0
400,1,2,28,12.65,1
401,1,3,39,7.925,0
402,0,3,26,8.05,0
403,0,3,21,9.825,1
404,0,3,28,15.85,0
405,0,3,20,8.6625,1
406,0,2,34,21,0
407,0,3,51,7.75,0
408,1,2,3,18.75,0
409,0,3,21,7.775,0
410,0,3,,25.4667,1
411,0,3,,7.8958,0
412,0,3,,6.8583,0
413,1,1,33,90,1
414,0,2,,0,0
415,1,3,44,7.925,0
